2018-10-26 | TRACE | ----- Exit -----
2018-10-26 | TRACE | ----Start program----
2018-10-26 | DEBUG | Scaning CPU
2018-10-26 | DEBUG | Scaning GPU
2018-10-26 | DEBUG | Add all CPU to databse
2018-10-26 | DEBUG | Scaning CPU
2018-10-26 | DEBUG | Add date to hashtable
2018-10-26 | DEBUG | CPU rating searched: AMD FX(tm)-8350 Eight-Core Processor
2018-10-26 | DEBUG | Add all GPU to databse
2018-10-26 | DEBUG | Scaning GPU
2018-10-26 | DEBUG | Add date to hashtable
2018-10-26 | DEBUG | GPU rating searched: NVIDIA GeForce GTX 1050 Ti
2018-10-26 | DEBUG | Scanning RAM
2018-10-26 | TRACE | Click Pc Rating 
2018-10-26 | TRACE | Click  Disk
2018-10-26 | TRACE | Click dashboard
2018-10-26 | TRACE | ----- Exit -----
2018-10-26 | TRACE | ----Start program----
2018-10-26 | DEBUG | Scaning CPU
2018-10-26 | DEBUG | Scaning GPU
2018-10-26 | DEBUG | Add all CPU to databse
2018-10-26 | DEBUG | Scaning CPU
2018-10-26 | DEBUG | Add date to hashtable
2018-10-26 | DEBUG | CPU rating searched: AMD FX(tm)-8350 Eight-Core Processor
2018-10-26 | DEBUG | Add all GPU to databse
2018-10-26 | DEBUG | Scaning GPU
2018-10-26 | DEBUG | Add date to hashtable
2018-10-26 | DEBUG | GPU rating searched: NVIDIA GeForce GTX 1050 Ti
2018-10-26 | DEBUG | Scanning RAM
2018-10-26 | TRACE | ----- Exit -----
2018-10-26 | TRACE | ----Start program----
2018-10-26 | TRACE | ----Start program----
2018-10-26 | TRACE | ----Start program----
2018-10-26 | TRACE | ----Start program----
2018-10-26 | DEBUG | Scaning CPU
2018-10-26 | DEBUG | Scaning GPU
2018-10-26 | DEBUG | Add all CPU to databse
2018-10-26 | DEBUG | Scaning CPU
2018-10-26 | DEBUG | Add date to hashtable
2018-10-26 | DEBUG | CPU rating searched: AMD FX(tm)-8350 Eight-Core Processor
2018-10-26 | DEBUG | Add all GPU to databse
2018-10-26 | DEBUG | Scaning GPU
2018-10-26 | DEBUG | Add date to hashtable
2018-10-26 | DEBUG | GPU rating searched: NVIDIA GeForce GTX 1050 Ti
2018-10-26 | DEBUG | Scanning RAM
2018-10-26 | TRACE | ----- Exit -----
2018-10-26 | TRACE | ----Start program----
2018-10-26 | DEBUG | Scaning CPU
2018-10-26 | DEBUG | Scaning GPU
2018-10-26 | DEBUG | Add all CPU to databse
2018-10-26 | DEBUG | Scaning CPU
2018-10-26 | DEBUG | Add date to hashtable
2018-10-26 | DEBUG | CPU rating searched: AMD FX(tm)-8350 Eight-Core Processor
2018-10-26 | DEBUG | Add all GPU to databse
2018-10-26 | DEBUG | Scaning GPU
2018-10-26 | DEBUG | Add date to hashtable
2018-10-26 | DEBUG | GPU rating searched: NVIDIA GeForce GTX 1050 Ti
2018-10-26 | DEBUG | Scanning RAM
2018-10-26 | TRACE | Click  Disk
2018-10-26 | TRACE | Click Pc Rating 
2018-10-26 | TRACE | ----- Exit -----
